system:index,NDVI,bagil_nem,etiket,sicaklik,yagis,.geo
33_0,3212.1363636363635,57.96867348714601,316,15093.468531468532,1.5090059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.643155883110147,40.1771510822456]}"
39_0,3804.2662337662337,43.76333109081706,307,15056.777702243371,1.002451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34097177009604,37.32050847874552]}"
64_0,6615.733766233766,59.588857746294124,215,14892.43706514864,2.7179642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.885701009822416,36.754569849750226]}"
109_0,3793.6623376623374,45.49906606095638,331,15021.251968503937,0.8434548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.2331739360017,37.61695252250497]}"
140_0,3201.714285714286,44.78116965108223,255,15363.176319176318,1.6236503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.785135440819545,37.41034000715747]}"
217_0,3317.0,44.99319276564109,261,15441.241610738254,1.7378211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.614455536836836,37.98526178899397]}"
342_0,4322.720779220779,39.18991111668714,182,15243.596674876848,1.1275201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55731353620313,37.293559020221934]}"
348_0,3751.785714285714,40.81466735102184,286,15418.719816272966,1.6576294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.64427502998775,38.155941692976675]}"
369_0,2973.8376623376626,54.764965451847104,30,15004.645436638215,0.9431257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.70753014883532,38.95544229584305]}"
394_0,2578.194805194805,57.454909149097645,232,15206.654804270464,1.1819224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.741970564363292,37.81458188501126]}"
445_0,5745.805194805195,69.72375448806353,182,15012.859673024523,2.2899194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.72113422405357,36.206597526437314]}"
488_0,4318.688311688312,62.86397712419735,210,14995.504283965729,1.6925985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.27808970020767,36.14371545654895]}"
565_0,2764.7272727272725,49.77704720173301,270,15449.089895470383,1.1038905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.72188032197197,37.43728946568106]}"
577_0,4401.948051948052,62.59123687844495,290,14797.002365930599,1.5680827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.271230484075407,40.86885385101763]}"
597_0,2308.418300653595,64.2442777642817,258,15341.978169605374,0.9406714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.46211498749572,39.6201956060915]}"
628_0,3671.818181818182,40.84223623065157,179,15501.218098958334,1.2435491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.40784302148935,37.095929657715644]}"
655_0,1660.8961038961038,46.6977459896799,287,15156.830604534005,1.6354892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.77615228797835,37.72475035659931]}"
705_0,3129.6103896103896,42.27545681458752,242,15542.838541666666,1.7082455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.08157948457899,37.23067695033357]}"
709_0,3844.9285714285716,43.10115966064744,313,15186.086577181208,1.4373161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.15631474193588,37.96729548331158]}"
713_0,3849.6103896103896,40.92054574372304,287,15252.20103761349,1.3145193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.50952773736982,37.76068296796409]}"
744_0,2607.811688311688,49.0420986852641,228,15362.065798987707,1.7589605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.74920282945477,38.775779239019144]}"
777_0,4479.662337662337,39.18991111668714,325,15280.115289765721,1.2468848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.73697659302704,37.31152532590433]}"
789_0,4432.616883116883,36.58096349484099,308,15347.079314720811,1.3005587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.808841815756594,37.24864325601596]}"
904_0,2627.512987012987,52.36704435496391,244,15079.023028611306,1.8640168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.80634483008847,37.27559271453955]}"
906_0,4211.512987012987,59.831708051758305,236,15190.152807391614,1.803736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.053883928137,37.149828574762815]}"
909_0,3992.188311688312,42.55263751674145,183,15330.683687002653,1.8691137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.62630872430536,38.380520514006555]}"
920_0,3872.8571428571427,43.30430976721614,309,15370.418892508143,1.6408426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.34496095160098,38.05712701172353]}"
1040_0,2683.525974025974,57.454909149097645,231,15204.057595392369,1.2166607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.67908849447493,37.84153134353485]}"
1080_0,5522.214285714285,36.46837215702448,304,15162.1775,1.0209314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.132235318039626,37.015081282144884]}"
1094_0,3110.3246753246754,43.55697954442776,251,15236.20623342175,2.1497076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.593619196527115,37.428306312839865]}"
1125_0,4569.6558441558445,39.941251137837305,307,15319.818753933292,1.2795995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.47646516063237,37.39237370147509]}"
1133_0,5917.019480519481,62.125906762137184,215,14842.753604193971,2.611263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.472475979127438,37.02406443498608]}"
1202_0,3691.5064935064934,43.10115966064744,326,15433.935483870968,1.472836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.057500060682734,37.97627863615277]}"
1239_0,4108.136363636364,61.10420197974673,258,15053.565308988764,1.3020562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.84078524561644,37.62593567534616]}"
1277_0,4599.350649350649,41.45166452241338,310,15321.88761174968,1.3469003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.28781895096728,37.679834592393334]}"
1285_0,3642.6428571428573,40.92054574372304,257,15501.813844086022,1.4188559,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.53647719589341,37.958312330470385]}"
1323_0,3859.1363636363635,41.36955957896164,268,15257.74374176548,1.3397917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.48257827884624,37.80559873217006]}"
1333_0,2308.418300653595,64.2442777642817,258,15341.978169605374,0.9406714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.45313183465452,39.6201956060915]}"
1403_0,3966.4220779220777,67.591916236261,266,15167.201205727204,1.7336845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.43404638209453,36.700670932703055]}"
1414_0,3079.181818181818,50.529096054808385,264,15052.240404040404,1.5724162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.3094013891954,37.22169379749238]}"
1442_0,4564.337662337663,61.36983983185388,237,15236.650389242746,1.7400149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.87422087131309,37.32949163158672]}"
1450_0,3667.9935064935066,39.56930147705709,156,15479.855445544554,1.4301875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.841904392494044,37.15881172760401]}"
1505_0,5125.025974025974,37.947341093757956,350,15194.945979899498,1.0056306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.32088152770472,37.015081282144884]}"
1523_0,4681.532467532467,71.64112758762336,268,14878.634831460675,1.5806817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.67260232730186,40.1771510822456]}"
1639_0,5155.714285714285,71.34962528103203,309,14967.106098579783,1.7641193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.229557803455965,40.19511738792799]}"
1654_0,4710.220779220779,58.90157593558476,206,15187.541463414635,1.8516068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.00896816393102,37.39237370147509]}"
1659_0,4470.220779220779,39.70414352158723,332,15231.478589420654,0.77883524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.95544229584305,36.7994856139562]}"
1668_0,3945.512987012987,67.40678697896337,277,15065.392248062015,1.486034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.70853493866664,39.10815589414337]}"
1758_0,4387.480519480519,37.44940384459662,315,15218.454314720811,1.1577865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.1771510822456,36.979148670780106]}"
1763_0,4111.201298701299,41.36955957896164,307,15211.746031746032,1.2898464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.356814139069506,37.823565037852454]}"
1767_0,3964.5454545454545,42.42224136702027,285,15313.6291913215,1.4342331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.1203821305711,38.012211247517556]}"
1928_0,4323.7467532467535,39.70414352158723,317,15220.775458570524,1.0798446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.94645914300185,36.95219921225652]}"
1934_0,4050.2987012987014,43.35684184182941,310,15362.728942368587,1.1218156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.8656107674311,37.18576118612759]}"
1954_0,4280.666666666667,62.59123687844495,290,14814.347020933978,1.5701967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.352078859646163,40.96766853227078]}"
2073_0,5077.025974025974,36.46837215702448,346,15291.281053952322,1.1680185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.19511738792799,37.19474433896879]}"
2096_0,3695.6363636363635,45.51742892077112,294,15389.197427652733,1.3263083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.45238573673612,37.80559873217006]}"
2189_0,4244.603896103896,37.95902384660945,335,15205.957336780866,0.90805143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.00934121289022,36.898300295209346]}"
2294_0,2989.7727272727275,57.454909149097645,225,15191.822660098522,1.1689441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.706037952998514,37.76966612080528]}"
2335_0,3440.5714285714284,46.268701242721185,173,15428.79949717159,1.218973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.099172741302176,37.69780089807572]}"
2348_0,4095.818181818182,38.19395356984551,333,15405.253324468085,0.9030018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.87172388564496,36.790502461115004]}"
2353_0,4065.720779220779,37.95902384660945,331,15207.667307692307,0.92078984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.081206435619784,36.88931714236815]}"
2399_0,3585.714285714286,45.5118036474759,218,15332.911551155115,2.0221004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.42867936179907,38.551200417989264]}"
2425_0,4011.7012987012986,64.11771953226133,181,15095.936416184972,2.3913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.32587549904098,36.49405841735556]}"
2500_0,3446.0584415584417,42.04473927527982,262,15434.108783783784,1.3969692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.90478646238241,37.89543026058202]}"
2578_0,4149.8441558441555,41.06141172558942,318,15195.569974554708,0.90390474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.16205481119054,37.00609812930369]}"
2586_0,4373.922077922078,37.95902384660945,326,15198.82428115016,0.92078984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.0542569770962,36.898300295209346]}"
2589_0,2213.06,52.98568012446984,227,14912.59670781893,1.4258852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.56991282159006,37.1677948804452]}"
2642_0,3290.5,43.55697954442776,204,15288.730082417582,2.1988463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.6205686550507,37.45525577136345]}"
2667_0,3269.1753246753246,42.21026825609982,247,15384.51503267974,1.2952366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.33884783338711,37.5540704526166]}"
2787_0,5022.461038961039,37.44940384459662,321,15191.691576947434,1.1540465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.132235318039626,36.95219921225652]}"
2840_0,4400.928571428572,38.19395356984551,270,15337.816135084428,1.1603808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.970538566898114,36.97016551793891]}"
2844_0,4297.980519480519,36.46837215702448,237,15398.597576530612,1.0492579,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.12325216519843,37.068980199192055]}"
2850_0,4016.2727272727275,41.36955957896164,265,15225.88961038961,1.3042622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,37.787632426487676]}"
2860_0,4276.961038961039,39.70414352158723,326,15238.772756206237,0.8448607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.964425448684246,36.81745191963859]}"
2926_0,3497.935064935065,41.36955957896164,259,15383.785385121791,1.3279163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,37.83254819069365]}"
2942_0,2913.6623376623374,38.668316824955774,236,15519.547361299054,0.8857606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.72799344018584,36.754569849750226]}"
3066_0,3978.090909090909,52.93008831867784,297,15007.586497890296,0.92535657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.03092365111835,39.95257226121572]}"
3162_0,4177.467532467533,37.947341093757956,350,15322.386202450032,1.0128868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,37.02406443498608]}"
3218_0,3873.525974025974,42.04473927527982,302,15221.52182672935,1.3801514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.94970222658839,37.84153134353485]}"
3260_0,3965.3506493506493,65.7652640226978,248,15146.305657604702,1.8466873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.87422087131309,36.97016551793891]}"
3277_0,3117.1493506493507,44.99319276564109,304,15511.26845637584,1.5780225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.62343868967803,37.79661557932887]}"
3280_0,2797.9220779220777,39.84222753792445,307,15606.345849802372,1.280466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.12936528341229,37.1677948804452]}"
3389_0,3915.5779220779223,41.430937746287825,287,15426.773941368077,1.6246215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,38.155941692976675]}"
3391_0,5135.675324675325,39.18991111668714,307,15210.195786864932,1.1566185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.629178758932696,37.293559020221934]}"
3460_0,5862.448051948052,70.07366763679005,210,14883.135856079405,1.7406462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.175658886408794,36.76355300259142]}"
3486_0,3584.714285714286,42.04473927527982,255,15485.790247160989,1.4509746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.85088754533524,37.9223797191056]}"
3495_0,3578.5454545454545,44.56632708989781,308,15264.924675324675,1.5687157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.35394410444217,37.96729548331158]}"
3524_0,4542.220779220779,61.459580438729745,314,15282.70291970803,1.6717613,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.60472628607724,37.31152532590433]}"
3591_0,3734.6428571428573,41.430937746287825,270,15464.89429312581,1.4059379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.32986468054592,38.08407647024712]}"
3595_0,2709.8896103896104,52.78960333075047,364,14971.060215053763,1.2087321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.89006324028656,39.02730751857261]}"
3608_0,3544.3766233766232,43.76333109081706,324,15036.895747599452,1.025951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.385887534302015,37.32949163158672]}"
3632_0,2627.512987012987,52.36704435496391,244,15079.023028611306,1.8640168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.80634483008847,37.27559271453955]}"
3671_0,2118.5454545454545,49.0231381556307,239,15148.29132231405,1.4430426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.47683820959158,39.11713904698456]}"
3673_0,3878.0324675324673,37.44940384459662,324,15301.351612903225,1.0908716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.24003315213397,36.94321605941532]}"
3680_0,3745.7987012987014,40.81466735102184,293,15419.00327225131,1.6633989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.56342665441699,38.182891151500264]}"
3872_0,4510.292207792208,66.12467667502922,270,14780.091487669053,1.5614992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.24428102555182,40.82393808681166]}"
3892_0,4656.435064935065,62.86397712419735,210,14995.276147959185,1.6925985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.26910654736648,36.13473230370776]}"
3933_0,3749.0584415584417,43.30430976721614,334,15435.350166112958,1.586571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.44377563285413,38.03916070604114]}"
3946_0,6380.019480519481,70.6239420941331,249,14898.997177134792,2.3810568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.00896816393102,36.224563832119706]}"
3959_0,3465.246753246753,40.81466735102184,244,15453.146357615895,1.5779507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.7430897112409,38.128992234453094]}"
3998_0,3626.4415584415583,43.60302125739914,162,15366.44499689248,1.7442293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.22530993003811,37.28457586738074]}"
4014_0,3171.305194805195,41.22597811643512,135,15289.824920127796,1.8211313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.512770820956355,37.149828574762815]}"
4020_0,3986.0779220779223,36.46837215702448,346,15386.214467005077,1.2014805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.12325216519843,37.21271064465118]}"
4043_0,2438.6688311688313,40.84223623065157,239,15494.375348189415,1.393841,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.46174193853652,37.15881172760401]}"
4109_0,3204.2402597402597,52.36704435496391,258,15001.578723404255,1.884845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.89617635850042,37.30254217306313]}"
4111_0,4161.461038961039,45.123444904085105,192,15388.158343483557,1.2089412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.632048793560024,37.75169981512289]}"
4149_0,3148.3636363636365,46.268701242721185,157,15510.205211726385,1.2555488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.16205481119054,37.53610414693421]}"
4162_0,3349.2597402597403,39.941251137837305,257,15432.671885192432,1.414545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48544831347357,37.47322207704584]}"
4191_0,4872.11038961039,37.44940384459662,308,15197.934343434343,1.1540465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.10528585951604,36.9881318236213]}"
4212_0,3096.6363636363635,41.87038214147137,240,15309.805779569893,1.500389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.57852292547206,37.203727491809985]}"
4219_0,6599.75974025974,70.07366763679005,212,14886.388086642599,1.7406462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.166675733567597,36.790502461115004]}"
4384_0,2487.779220779221,36.58096349484099,131,15548.61281883584,1.1116598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.89867334416855,37.149828574762815]}"
4397_0,3989.1363636363635,41.06141172558942,183,15383.022493573264,1.1447424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.06324012993739,37.21271064465118]}"
4402_0,4984.525974025974,54.10782417226147,217,14757.241475295756,2.5524206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.382271401756284,37.293559020221934]}"
4433_0,4412.350649350649,36.58096349484099,310,15245.028373266077,1.1111966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.79087551007421,37.14084542192162]}"
4452_0,4028.5,42.21026825609982,309,15256.372599231754,1.3365356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.473595126005044,37.733733509440505]}"
4463_0,2429.6363636363635,52.78960333075047,182,15089.89886039886,1.1730688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.93497900449253,39.09018958846098]}"
4473_0,4149.272727272727,61.75447965535624,156,15298.35033557047,1.5645669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.700670932703055,37.07796335203325]}"
4483_0,4190.051948051948,59.58105521355087,205,15163.58774373259,1.8304279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.20048440822345,36.96118236509771]}"
4527_0,2345.6753246753246,49.337951118731084,270,15163.519540229885,1.1767647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.66149523775174,39.6112124532503]}"
4533_0,3221.935064935065,41.87038214147137,240,15301.802356020942,1.500389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.57852292547206,37.22169379749238]}"
4605_0,2416.383116883117,47.97442792723334,238,15142.930627306274,1.0354118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.634545779228155,38.97340860152544]}"
4683_0,3110.3246753246754,43.55697954442776,251,15236.20623342175,2.1497076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.593619196527115,37.428306312839865]}"
4725_0,5034.441558441558,37.947341093757956,348,15215.31375,1.0699022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.33884783338711,37.095929657715644]}"
4742_0,4586.090909090909,41.06141172558942,337,15220.036305732485,1.1008544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.07222328277859,37.18576118612759]}"
4784_0,5165.220779220779,37.947341093757956,339,15213.26149968494,1.1110753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,37.05999704635086]}"
4936_0,3986.6103896103896,40.92054574372304,316,15210.177157689812,1.3668762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.62630872430536,37.79661557932887]}"
4953_0,3909.603896103896,49.48895075704658,254,15214.614709851552,2.1114633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.593619196527115,37.61695252250497]}"
